"구분별(1)",구분별(2),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"총계",소계,2977599,2969184,2973877,3013541,3056588,3083007,3116256,3124651,3124157,3157361,3176743,3193351,3191162,3176933
"남성",소계,1929884,1927468,1931264,1949324,1967755,1980617,1995469,1993634,1987286,2003298,2003470,2006658,2012574,2005659
"남성",10대 이하,2300,2199,2045,1907,1744,1567,1429,1323,1292,1425,1517,1479,2267,2042
"남성",20대,48824,44717,41746,40455,41197,43461,44918,45555,43845,42173,40367,39039,52866,49846
"남성",30대,420198,407723,394699,389583,385461,377645,373210,355469,338535,327305,311110,297173,316548,306743
"남성",40대,566139,560096,556497,552526,550910,546310,536419,527454,517827,513225,507002,500886,502333,489536
"남성",50대,528526,529634,530716,529692,529934,526275,528734,528471,525746,532158,532509,535946,533450,533148
"남성",60대,270791,281696,295869,317622,332400,347517,362643,378332,395954,417002,426762,436431,424864,430538
"남성",70대,83007,89924,96787,102542,109275,118882,127026,133830,139018,141974,152554,161712,151106,162616
"남성",80대,9297,10519,11778,13451,15044,16838,18716,20651,22437,25094,28351,30429,26689,28502
"남성",90대 이상,802,960,1127,1546,1790,2122,2374,2549,2632,2942,3298,3563,2451,2688
"여성",소계,589261,595264,602460,615468,630475,646634,662868,670935,678524,693385,702831,713584,721899,725401
"여성",10대 이하,1149,1108,1061,994,914,826,743,670,654,633,613,653,1199,1106
"여성",20대,22595,20789,19613,18901,19475,20146,20800,20796,20634,21103,21446,20855,27324,25133
"여성",30대,136986,134333,131543,130946,130246,129739,130239,125859,122359,122165,119728,118679,126488,125677
"여성",40대,173575,175308,176699,178873,184509,187148,188023,188246,187355,187804,187503,186798,189054,185341
"여성",50대,166021,168297,171078,173578,175119,178975,184236,187019,188988,193226,196358,200884,200888,202554
"여성",60대,64769,69504,74756,82758,89025,95926,102829,110402,118708,127197,132486,137592,132893,137771
"여성",70대,18738,20175,21450,22719,24235,26598,28461,30075,31602,32445,35342,38389,35990,39427
"여성",80대,4603,4843,5291,5602,5768,5917,6116,6347,6618,6984,7449,7691,6819,7115
"여성",90대 이상,825,907,969,1097,1184,1359,1421,1521,1606,1828,1906,2043,1244,1277
"법인 및 사업자",소계,458454,446452,440153,448749,458358,455756,457919,460082,458347,460678,470442,473109,456689,445873
